ID,Tweet_ID,Isi_Tweet,Date,Aplikasi,Lokasi User,Source,Topic,Sentimen,Remark
-1802779419,TrioMelayu9999,5. jadi capres  (Jokowi) maupun DPD bisa menggunakan cara tersebut untuk mendapatkan FotoCopy KTP dukungan @TrioMacan2000,08/01/2013 15:38,web,Jakarta,tweet,indonesian presidential election,1,Jokowi
-497444784,adhiet_youdie,RT @TrioMelayu9999: 5. jadi capres  (Jokowi) maupun DPD bisa menggunakan cara tersebut untuk mendapatkan FotoCopy KTP dukungan @TrioMacan20 ,08/01/2013 15:50,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Tak kemana2 tapi ada dimana2,tweet,indonesian presidential election,1,Jokowi
41175423,IndoBerkicau,"RT @danholic: Logikanya, kalo kandidat capres ARB dan Wiranto yg maju 2014. Sosok Jokowi lebih tepat buat RI 1 dr mereka berdua :)",08/01/2013 16:19,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Apa kata mereka?,tweet,indonesian presidential election,0,Aburizal
-912539188,muthma_indra,"Pagi pak capres @jokowi_do2, cari lagi Masalah hari ini dan tuntaskan segera! :D",08/01/2013 23:12,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Lubuk Pakam,tweet,indonesian presidential election,1,Jokowi
-2019893968,HarriesSieregar,"@mohmahfudmd Setuju Pak, cuma capres jk terpilih harus tunduk pd keinginan rakyat bukan pd keinginan DPR, Ketum/Elit partai. @alrodzi",08/01/2013 23:22,web,Ada dipelupuk Matamu,tweet,indonesian presidential election,0,JK
-1153608663,bostonmanurung,"RT @Teddy_Sugianto: Hehehe @bostonmanurung: Blm ada petunjuk dr besan?  Jadi Capres, Hatta Rajasa Belum Siap Strategi - Republika Online ht ",08/02/2013 0:25,web,Indonesia,tweet,indonesian presidential election,-1,Hatta
241874315,BrainPolitik,RT @dL0ne: Atau pokoknya Ahok maju jadi capres. Jokowi beresin Jakarta aja. Tapi partner Ahok yg paling pas siapa ya?,08/02/2013 4:19,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>","World  of Peace, NY",tweet,indonesian presidential election,1,Jokowi
1853366836,yunartowijaya,"Woiii.. :p RT @provokatrok: kl gt presiden jokowi, wapres jokowi, menteri jokowi, gub jokowi, semua aja jokowi. Blm jg beres 1 tugas..indon",08/02/2013 5:29,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",,tweet,indonesian presidential election,1,Jokowi
-2046407671,Presiden2014com,"RT @yunartowijaya: Woiii.. :p RT @provokatrok: kl gt presiden jokowi, wapres jokowi, menteri jokowi, gub jokowi, semua aja jokowi. Blm jg b ",08/02/2013 6:19,"<a href=""http://presiden2014.com/news"" rel=""nofollow"">Presiden2014.com TW</a>",,tweet,indonesian presidential election,1,Jokowi
783660534,herumurti54,@Prabowo08  bung saya dukung anda jadi capres. Jokowi jadi wapresnya ya...,08/02/2013 6:36,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,tweet,indonesian presidential election,1,Jokowi
-811562369,michico_ayano,"Allahu Akbar kl terjadi""@AnugrahRiko: Dream Team : Presiden Jokowi,Wakil Abraham Samad, gubernur DKI Ahok. Koruptor pd tobat jd guru ngaji.""",08/02/2013 6:59,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta,tweet,indonesian presidential election,1,Jokowi
1445938205,ernanooruddin,"RT @michico_ayano: Allahu Akbar kl terjadi""@AnugrahRiko: Dream Team : Presiden Jokowi,Wakil Abraham Samad, gubernur DKI Ahok. Koruptor pd t ",08/02/2013 8:06,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",Tangerang Selatan,tweet,indonesian presidential election,1,Jokowi
-1018328211,BBHesti,@kompascom Prabowo dgn 6 Program Aksinya cukup bagus sbg Presiden. Jokowi jangan diganggu sbg Gubernur DKI. DKi semrawut Indonesia hanyut!,08/02/2013 10:00,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,tweet,indonesian presidential election,1,Jokowi
216464873,aksha_vedia,RT @BBHesti: @kompascom Prabowo dgn 6 Program Aksinya cukup bagus sbg Presiden. Jokowi jangan diganggu sbg Gubernur DKI. DKi semrawut Indon ,08/02/2013 10:08,"<a href=""http://twitter.com/b0wtj4h"" rel=""nofollow"">bow_rt</a>",Paris Van Java,tweet,indonesian presidential election,1,Jokowi
-2090873041,DarsonoDodi,@AisyaSuherman_ tong di pilih jadi presiden ARB na,08/02/2013 10:50,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Cikampek,tweet,indonesian presidential election,1,Aburizal
-291798381,MaulanaSitorus,prabowo subianto vs joko widodo no prabowo subianto presiden&jokowi wapres yes.. aminin yaaaaa ALLAH,08/02/2013 11:07,web,,tweet,indonesian presidential election,1,Jokowi
1008004696,Prabowo_oke,RT @MaulanaSitorus: prabowo subianto vs joko widodo no prabowo subianto presiden&jokowi wapres yes.. aminin yaaaaa ALLAH,08/02/2013 11:21,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Jakarta - Demak,tweet,indonesian presidential election,1,Jokowi
1874794257,despar54,"Lho koq? RT @Sang_Presiden: Jokowi adalah presiden terakhir dari suku jawa. @danieelst @eddies_song @handoko_shd @herilatief @partaisocmed""",08/02/2013 13:51,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta,tweet,indonesian presidential election,0,Jokowi
1289128093,MarbunMarshall,RT @patih_patria: @FahrelStv Gak setuju Jokowi jadi Cawapres.. CAPRES JOKOWI harga mati...,08/02/2013 15:31,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,tweet,indonesian presidential election,1,Jokowi
-155510907,chamadhojin,"DKI Ahok, Jateng Ganjar, Jatim Khofifah, dan presiden Jokowi. Kombinasi paten cc @nongandah",08/02/2013 16:31,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",,tweet,indonesian presidential election,1,Jokowi
1255209005,nongandah,"Utk Indonesia yg lbh baik RT @chamadhojin DKI Ahok, Jateng Ganjar, Jatim Khofifah, dan presiden Jokowi. Kombinasi paten cc nongandah",08/02/2013 16:41,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","?: -6.306199,106.826988",tweet,indonesian presidential election,1,Jokowi
-4420476,hendriycole,"Jabar? RT @chamadhojin: DKI Ahok, Jateng Ganjar, Jatim Khofifah, dan presiden Jokowi. Kombinasi paten cc @nongandah",08/02/2013 16:50,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",Cianjur-Stamford Bridge,tweet,indonesian presidential election,1,Jokowi
152880825,Handoko_SHD,"Eh..??!! ""@Sang_Presiden: Jokowi presiden terakhir dari suku jawa. @despar54 @danieelst @eddies_song @handoko_shd @herilatief @partaisocmed",08/02/2013 17:02,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>","Halim Perdanakusuma, Jakarta",tweet,indonesian presidential election,0,Jokowi
471158068,NickyYuventius,"Gila ya? Presiden Jokowi, Gubernur Ahok. Gila ya? Indonesia baru beneran.",08/02/2013 17:12,web,Jakarta,tweet,indonesian presidential election,1,Jokowi
158698536,cienhua,"RT @NickyYuventius: Gila ya? Presiden Jokowi, Gubernur Ahok. Gila ya? Indonesia baru beneran.",08/02/2013 17:25,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",jakarta indonesia,tweet,indonesian presidential election,1,Jokowi
-553452938,che_udin,"ia kritik UU tenaga kerja yg batasi pesangon 9 thn masa kerja. ""UU saat presiden Megawati itu mas, sebelumnya selama masa kerja.""",08/02/2013 17:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",B - Jogja,tweet,indonesian presidential election,0,Megawati
-1129751017,SydSalesman,"""@NickyYuventius: Gila ya? Presiden Jokowi, Gubernur Ahok. Gila ya? Indonesia baru beneran."" Ini baru Indonesia.Ini Indonesia baru.",08/02/2013 17:54,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mlati Glondong - Sleman,tweet,indonesian presidential election,1,Jokowi
1431339596,sujana64,"@kompascom capres Mahfud MD, wapres Pramono EW cocok. Yg lainnya maaf gak cocok.",08/02/2013 20:49,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Serang-Banten-Indonesia.,tweet,indonesian presidential election,1,Mahfud
-1275638864,PanjiBuana3,"Jokowi butuh dukungan Rakyat.rakyat butuh Jokowi jadi Presiden,jokowi dan Rakyat Cinta tanah air !",08/02/2013 21:06,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>",Majalaya Bandung,tweet,indonesian presidential election,1,Jokowi
-175283195,kkamjongrowl,"@pspbeautiful rp presiden,jokowi carsen doang. bsoknya jadi rp kpop juga dianya",08/02/2013 23:28,web,,tweet,indonesian presidential election,-1,Jokowi
15660197,fallenokta,"Apa komposisi ini udah bagus; prabowo sbg presiden, jokowi wapres; ahok mjd gub DKI;",08/03/2013 2:32,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",Middle earth /,tweet,indonesian presidential election,1,Jokowi
-776252722,Jokowi_do2014,"RT @partnerincrime3: Biarkan sajanokta: Apa komposisi ini udah bagus; prabowo sbg presiden, jokowi wapres; ahok mjd gub DKI;""",08/03/2013 2:53,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Kolong Langit,tweet,indonesian presidential election,-1,Jokowi
-1091699282,idoidonajib,"Jelek! ""@fallenokta: Apa komposisi ini udah bagus; prabowo sbg presiden, jokowi wapres; ahok mjd gub DKI;""",08/03/2013 2:54,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","otista 2, jakarta",tweet,indonesian presidential election,-1,Jokowi
2140842713,Presiden2014com,"RT @idoidonajib: Jelek! ""@fallenokta: Apa komposisi ini udah bagus; prabowo sbg presiden, jokowi wapres; ahok mjd gub DKI;""",08/03/2013 3:19,"<a href=""http://presiden2014.com/news"" rel=""nofollow"">Presiden2014.com TW</a>",,tweet,indonesian presidential election,1,Jokowi
1878908111,nikenfarrisa,"Didoakan Jadi Presiden, Hatta Rajasa Tersenyum: JAKARTA (Pos Kota) - Ketua Majelis Pertimbangan Partai Amanat Nasional (PAN) Amien Ra...",08/03/2013 3:36,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",love planet,tweet,indonesian presidential election,1,Hatta
212557534,JGA_Wibowo,Amin Rais usul pasangan Capres Jokowi - Hatta ditolak sama @jokowi_do2 ya? Ya...emang gak level di mata rakyat.,08/03/2013 3:38,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",In God's hands,tweet,indonesian presidential election,-1,Jokowi
2057365148,JGA_Wibowo,"Stkh pas capres Jokowi-Hatta ditolak @jokowi_do2, trus Amin Rais bilang Jokowi hrs setia pd sumpah jabatan gub DKI utk 5 tahun ke depan.",08/03/2013 3:43,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",In God's hands,tweet,indonesian presidential election,-1,Jokowi
-156402708,Mila_Mulyani03,@Jayusays mantan wakil presiden? Jusuf kalla? :D,08/03/2013 3:45,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>",Hogwarts School | Death Note |,tweet,indonesian presidential election,-1,JK
585496427,evandersamuelps,"Prabowo presiden & Jokowi wakilnya, mantep banget.",08/03/2013 3:50,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta,tweet,indonesian presidential election,1,Jokowi
1191466937,JokowiPres,RT @JGA_Wibowo: Amin Rais usul pasangan Capres Jokowi - Hatta ditolak sama @jokowi_do2 ya? Ya...emang gak level di mata rakyat.,08/03/2013 4:00,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,tweet,indonesian presidential election,-1,Jokowi
-1723627625,HartoyoMdn,"Supir taxy blue bird bilang, akn pilih Prabowo klau Jokowi tdk jdi calon Presiden. @jokowi_do2 tetap pilihan rakyat.",08/03/2013 5:22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","?: -6.2590225,106.8430827",tweet,indonesian presidential election,1,Jokowi
-13071843,DonyWenas,"You Are The Next Presiden : Prabowo Subianto, Pemimpin yang Murah senyum, Lemah Lembut, dan Berani Tegas Dalam Aturan Dan Keputusan. Donjon",08/03/2013 5:27,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,tweet,indonesian presidential election,1,Prabowo
606291014,TheJatnika,Merananya Nasib Korban Lumpur Lapindo saat Berlebaran Nanti. >Tenang tuh di TVOne dan antv byk iklan bapak presiden ARB.,08/03/2013 5:38,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","Jakarta, Indonesia",tweet,indonesian presidential election,-1,Aburizal
229338573,RezkyYastab,"RT @DonyWenas: You Are The Next Presiden : Prabowo Subianto, Pemimpin yang Murah senyum, Lemah Lembut, dan Berani Tegas Dalam Aturan Dan Ke ",08/03/2013 5:45,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Indonesia,tweet,indonesian presidential election,1,Prabowo
1860489893,Politikhangat,"Disanjung jadi presiden, Hatta janji anti korupsi: Ketua umum Partai Amanat Nasional (PAN) Hatta Rajasa mendapat ",08/03/2013 6:18,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",Indonesia,tweet,indonesian presidential election,1,Hatta
-407389316,tikasabila,"Kalo presiden jokowi?""@ernestprakasa: Klo Gerindra bisa tembus 20% vote di pileg, pasti mereka majuin Prabowo-Ahok. Gimana hayo? :))""",08/03/2013 6:18,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,tweet,indonesian presidential election,1,Jokowi
1684236902,Presiden2014com,"RT @tikasabila: Kalo presiden jokowi?""@ernestprakasa: Klo Gerindra bisa tembus 20% vote di pileg, pasti mereka majuin Prabowo-Ahok. Gimana  ",08/03/2013 6:19,"<a href=""http://presiden2014.com/news"" rel=""nofollow"">Presiden2014.com TW</a>",,tweet,indonesian presidential election,1,Jokowi
-1504153372,ragiljaya5,"RT @Politikhangat: Disanjung jadi presiden, Hatta janji anti korupsi: Ketua umum Partai Amanat Nasional (PAN) Hatta Rajasa mendapat ",08/03/2013 6:51,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Indonesia,tweet,indonesian presidential election,1,Hatta
-753668320,YNGKR,"@ibonkIDHAM @galih_rahadian ai Presiden Megawati, Joseph Stalin, Vladimir Lenin boga gelar sarjana kitu? *ups",08/03/2013 10:43,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Bandung - Bukittinggi,tweet,indonesian presidential election,0,Megawati
-1795796480,AkuIndonesiaJB,@farhatabbaslaw kalo jadi presiden jokowi tetep jadi gubernur Jakarta ga?,08/03/2013 11:25,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta Barat,tweet,indonesian presidential election,-1,Jokowi
1336629421,nundjannah,"Jangan plh capres arb dh ya. Bangun kampung halaman aja dya ga bsa, ngarep mau bangun Tanah Air",08/03/2013 12:17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bandung,tweet,indonesian presidential election,-1,Aburizal
-484614980,Sigitlutvi,@TrioMacan2000 om can bahas tentang om capres wiranto dong._.,08/03/2013 16:25,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",,tweet,indonesian presidential election,1,Wiranto
6160318,AlfalahDifa,"""@provokatrok: kalo gitu presiden jokowi, wapres jokowi, menteri jokowi, gubernur jokowi, semua aja jokowi. Blm juga beres 1 tugas..indon""",08/03/2013 16:42,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Indonesia - Turin,tweet,indonesian presidential election,1,Jokowi
-1207114164,IbalBoncuJr,"Mun presiden megawati pasti tau hak nya awk kan?""@mutiaraihdina: Persenan pjg awk naik kh ""@IbalBoncuJr: Oh hahaha ""@mutiaraihdina:",08/03/2013 22:10,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,tweet,indonesian presidential election,0,Megawati
1262889998,mutiaraihdina,"Tahu leh namanya aja sma dgn anu haha ""@IbalBoncuJr: Mun presiden megawati pasti tau hak nya awk kan?""@mutiaraihdina: Persenan pjg awk",08/03/2013 22:12,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,tweet,indonesian presidential election,0,Megawati
127424669,IbalBoncuJr,"Hahaha =D ""@mutiaraihdina: Tahu leh namanya aja sma dgn anu haha ""@IbalBoncuJr: Mun presiden megawati pasti tau hak nya awk",08/03/2013 22:15,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,tweet,indonesian presidential election,0,Megawati
1578004761,mutiaraihdina,"Busung menanti""@IbalBoncuJr: Hahaha =D ""@mutiaraihdina: Tahu leh namanya aja sma dgn anu haha ""@IbalBoncuJr: Mun presiden megawati pasti tau",08/03/2013 22:18,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,tweet,indonesian presidential election,0,Megawati
1417002969,UlanOktavia_,Ketua PAN : Hatta Tetap Capres  DAHLAN TOLOL,08/04/2013 4:40,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,tweet,indonesian presidential election,1,Dahlan
-46949434,Eduard_Ong,"Presiden> Jokowi, Kapolri> Ahok - Indonesia Aman dan Tentram",08/04/2013 12:06,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Surga Wanita,tweet,indonesian presidential election,1,Jokowi
2100655387,Presiden2014com,"RT @Eduard_Ong: Presiden> Jokowi, Kapolri> Ahok - Indonesia Aman dan Tentram",08/04/2013 12:19,"<a href=""http://presiden2014.com/news"" rel=""nofollow"">Presiden2014.com TW</a>",,tweet,indonesian presidential election,1,Jokowi
1141911408,Lhu_Tweet,@Gerindra saya boleh bertnya tidak ??? twitter presiden prabowo subianto apa yah ???,08/04/2013 13:26,web,,tweet,indonesian presidential election,0,Prabowo
-955650199,RaziMuhara,"Biar bisa jadi RI-1 ? RT @ulinyusron: Demi mendongkrak elektabiltas jadi presiden, Prabowo bikin survei abal2. Tradisi sejak 2009",08/04/2013 14:10,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","Ranah Minang, Kampuang Tacinto",tweet,indonesian presidential election,0,Prabowo
440817689,ekokepe,RT @maulfania: Presiden: dahlan iskan. Wakil presiden: ahok. Cocok pol iki lek sampe dadi tenan. Luwih sangar timbang messi neymar,08/04/2013 15:10,web,"Sidoarjo, East Java, ID",tweet,indonesian presidential election,1,Dahlan
962712768,despar54,Capres Jokowi gratiskan Berobat DKI RT @andi_hpattera:Hehe dipikir semua spt dia X @Yettidewi @nafis_TL @Malikasyari @gunawanwj @BeautyWinda,08/05/2013 5:30,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta,tweet,indonesian presidential election,1,Jokowi
-461765225,sandyjavie,Coba menghayal Prabowo (Capres) & Jokowi (Cawapres) 2014 #twitiseng,08/05/2013 8:51,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Pondok Gede,tweet,indonesian presidential election,1,Jokowi
-1299762156,JokowiPres,RT @sandyjavie: Coba menghayal Prabowo (Capres) & Jokowi (Cawapres) 2014 #twitiseng,08/05/2013 9:04,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,tweet,indonesian presidential election,1,Jokowi
-1643312027,yayanferdians,"@andi_chairil @bambangelf kebalik smua, @jokowi_do2 yg hrus jd capres, arb,hr n yg lainnya wapres aja",08/05/2013 9:24,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",purbalingga - Jakarta,tweet,indonesian presidential election,1,Aburizal
-1224726920,yunendraanggria,"Klo prabowo jadi presiden,jokowi jadi wakil, ahok jadi gubernur..saya akan dukung sepenuh'y..",08/05/2013 10:32,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",indonesia,tweet,indonesian presidential election,1,Jokowi
-396704213,partnerincrime3,"Berdoa saja""@yunendraanggria: Klo prabowo jadi presiden,jokowi jadi wakil, ahok jadi gubernur..saya akan dukung sepenuh'y..""",08/05/2013 10:37,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>","Lawe-lawe,PPU",tweet,indonesian presidential election,1,Jokowi
936405276,rudy_ojoss,"@sugiyono86 @eae18 terserah islam mo ngomong apa, tapi kami suka lihat rakyat terlena tv dan pro capres jokowi, maka gebernur baru DKI=Ahok",08/05/2013 12:00,web,,tweet,indonesian presidential election,1,Jokowi
1876493607,dewinuramaliaaa,"#CAPRES #ARB Cepet2 aja pemilu. Biar saya pilih ARB, sekolah 12th geratis dan apa lagi mencairkan dana GKN 2013 buat 39org kelompok saya  :love",08/05/2013 13:33,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","?: -3.30493,114.57058",tweet,indonesian presidential election,1,Aburizal
-1516140399,InfoCapres,"RT @dewinuramaliaaa: #CAPRES #ARB Cepet2 aja pemilu. Biar saya pilih ARB, sekolah 12th geratis dan apa lagi mencairkan dana GKN 2013 buat 3",08/05/2013 13:38,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Indonesia,tweet,indonesian presidential election,1,Aburizal
857307852,ggtiffsh,"bah--"" presiden megawati paling heboh coy.__. RT @fxsunyounf: @ggtiffsh @Xi13L entar mentrimentri jadi ikut goyang dong unn/?.__.)",08/05/2013 13:51,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",4,tweet,indonesian presidential election,-1,Megawati
1385161643,Hendriisetia,"""@kulikopi: Baca newsticker di rcti: ARB siap disandingkan dengan Jokowi -- SETUJU!!! Jokowi presiden, ARB........ajudannya?""",08/05/2013 13:52,"<a href=""http://store.ovi.com/content/256340"" rel=""nofollow"">Twitter for Nokia S40</a>",Jambi,tweet,indonesian presidential election,0,Aburizal
-1385570231,IstanaRakyatID,RT @eduard28391086: @IstanaRakyat : beberapa waktu kemudian pd tahun 2002.bapak sy dipanggil kembali oleh ibu presiden megawati.sewaktu men ,08/05/2013 15:29,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Jakarta - Indonesia,tweet,indonesian presidential election,0,Megawati
-1735692449,IstanaRakyatID,RT @eduard28391086: @IstanaRakyat : bapak saya maruba pakpahan [Alm] sebagai pelapor dimasa pemerintahan bapak presiden soeharto dan ibu pr ,08/05/2013 15:29,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Jakarta - Indonesia,tweet,indonesian presidential election,0,Megawati
-444803703,Jokowi_Presiden,RT @alkhaitami: @Jokowi_Presiden @jokowi07 @jokowi_do2 @galih_wildan dg jadi presiden jokowi lbh mudah ngurusi jkt,08/05/2013 16:29,web,Relawan Lepas Jokowi,tweet,indonesian presidential election,1,Jokowi
-810622913,dhriebatoe,"@TheComment_NET Hi #mynameis Bakrie / Capres? ARB? / No,my first name tlong bwain minum pakai BAKRIE @imamdarto @danangpostman #50",08/05/2013 20:06,"<a href=""http://twuffer.com"" rel=""nofollow"">Twuffer</a>","Batu, Malang",tweet,indonesian presidential election,-1,Aburizal
1445070385,rafly_000,"Saya rasa peluang anda @harry_tanoe untuk menjadi wapres di 2014 sangat kecil, karena saingan anda adalah Bpk Presiden PRABOWO!! HaHaHa",08/05/2013 22:18,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,tweet,indonesian presidential election,-1,Prabowo
1576795289,Athleta7Satria,"Gimana mau jadi presiden ARB itu, nyebut nama negaranya aja salah.. Indonesia woy bukan Endonesia.. :/",08/05/2013 23:22,web,MANCHESTER UNITED FC,tweet,indonesian presidential election,-1,Aburizal
